mean_accuracy,std_accuracy,robust_score,params_json,fold_scores_json
0.8297658652940808,0.028693348498869037,0.8197231933194766,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8435754189944135, 0.8033707865168539, 0.797752808988764, 0.8370786516853933, 0.848314606741573, 0.8379888268156425, 0.8539325842696629, 0.8033707865168539, 0.8426966292134831, 0.8202247191011236, 0.8435754189944135, 0.7696629213483146, 0.8089887640449438, 0.8426966292134831, 0.8932584269662921]"
0.8293871487456322,0.027680163990219275,0.8196990913490555,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8435754189944135, 0.797752808988764, 0.8146067415730337, 0.8426966292134831, 0.8370786516853933, 0.8379888268156425, 0.848314606741573, 0.8033707865168539, 0.8370786516853933, 0.8314606741573034, 0.8547486033519553, 0.7696629213483146, 0.797752808988764, 0.8370786516853933, 0.8876404494382022]"
0.8293955181721173,0.027859274344237756,0.8196447721516341,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8324022346368715, 0.8089887640449438, 0.8033707865168539, 0.8314606741573034, 0.8370786516853933, 0.8268156424581006, 0.8539325842696629, 0.8146067415730337, 0.8314606741573034, 0.8258426966292135, 0.8547486033519553, 0.7696629213483146, 0.8089887640449438, 0.8426966292134831, 0.898876404494382]"
0.8293997028853599,0.027912409839922138,0.8196303594413872,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 4.0, ""subsample"": 0.8}","[0.8268156424581006, 0.8089887640449438, 0.8202247191011236, 0.8370786516853933, 0.8539325842696629, 0.8268156424581006, 0.8539325842696629, 0.797752808988764, 0.8426966292134831, 0.8314606741573034, 0.8491620111731844, 0.7696629213483146, 0.8033707865168539, 0.8258426966292135, 0.8932584269662921]"
0.827895298474672,0.023625123182232022,0.8196265053608908,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8033707865168539, 0.8089887640449438, 0.8314606741573034, 0.8595505617977528, 0.8491620111731844, 0.8258426966292135, 0.8146067415730337, 0.8258426966292135, 0.8370786516853933, 0.8379888268156425, 0.7808988764044944, 0.8089887640449438, 0.8202247191011236, 0.8820224719101124]"
0.8290147092670476,0.027138107683527885,0.8195163715778128,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8435754189944135, 0.797752808988764, 0.8089887640449438, 0.8370786516853933, 0.8426966292134831, 0.8324022346368715, 0.848314606741573, 0.8089887640449438, 0.8370786516853933, 0.8258426966292135, 0.8547486033519553, 0.7696629213483146, 0.8033707865168539, 0.8370786516853933, 0.8876404494382022]"
0.8293934258154961,0.028323935355212947,0.8194800484411716,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.2, ""reg_lambda"": 4.0, ""subsample"": 0.8}","[0.8379888268156425, 0.8089887640449438, 0.8089887640449438, 0.8314606741573034, 0.8651685393258427, 0.8324022346368715, 0.848314606741573, 0.797752808988764, 0.8370786516853933, 0.8314606741573034, 0.8491620111731844, 0.7696629213483146, 0.797752808988764, 0.8370786516853933, 0.8876404494382022]"
0.8286401774318415,0.026831256303167683,0.8192492377257328,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8435754189944135, 0.8033707865168539, 0.797752808988764, 0.8370786516853933, 0.8370786516853933, 0.8379888268156425, 0.8539325842696629, 0.8033707865168539, 0.848314606741573, 0.8089887640449438, 0.8491620111731844, 0.7752808988764045, 0.8089887640449438, 0.8426966292134831, 0.8820224719101124]"
0.8286464545017054,0.026951462002334902,0.8192134428008881,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8089887640449438, 0.8146067415730337, 0.8314606741573034, 0.8426966292134831, 0.8324022346368715, 0.848314606741573, 0.8089887640449438, 0.8314606741573034, 0.8202247191011236, 0.8491620111731844, 0.7696629213483146, 0.8089887640449438, 0.8314606741573034, 0.898876404494382]"
0.8297491264411107,0.030124830144723298,0.8192054358904575,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8603351955307262, 0.8033707865168539, 0.797752808988764, 0.848314606741573, 0.8314606741573034, 0.8659217877094972, 0.8539325842696629, 0.797752808988764, 0.8314606741573034, 0.8314606741573034, 0.8435754189944135, 0.7584269662921348, 0.8146067415730337, 0.8314606741573034, 0.8764044943820225]"
